artist,attack,collectible,cost,durability,dust,entourage,faction,flavor,health,howToEarn,howToEarnGolden,id,mechanics,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,targetingArrowText,text,type
Dany Orizio,4.0,True,5.0,,,,,Feugen is sad because everyone likes Stalagg better.,7.0,"Unlocked in The Construct Quarter, in the Naxxramas adventure.","Crafting unlocked in The Construct Quarter, in the Naxxramas adventure.",FP1_015,['DEATHRATTLE'],Feugen,,,NEUTRAL,,LEGENDARY,NAXX,,,"<b>Deathrattle:</b> If Stalagg also died this game, summon Thaddius.",MINION
Alex Garner,,True,3.0,,,,,The one time when duping cards won't get your account banned!,,"Unlocked in The Plague Quarter, in the Naxxramas adventure.","Crafting unlocked in The Plague Quarter, in the Naxxramas adventure.",FP1_018,['SECRET'],Duplicate,,,MAGE,,COMMON,NAXX,,,"<b>Secret:</b> When a friendly minion dies, put 2 copies of it into your hand.",SPELL
Raymond Swanland,8.0,True,9.0,,"[1600, 3200, 400, 1600]",,,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,8.0,,,EX1_561,['BATTLECRY'],Alexstrasza,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_HERO_TARGET': 0}",NEUTRAL,DRAGON,LEGENDARY,EXPERT1,,Set Health to 15.,<b>Battlecry:</b> Set a hero's remaining Health to 15.,MINION
Michael Komarck,,True,1.0,,,,,I see what you did there.,,Unlocked at Level 4.,Unlocked at Level 32.,CS2_003,,Mind Vision,,,PRIEST,,COMMON,CORE,,,Put a copy of a random card in your opponent's hand into your hand.,SPELL
Raymond Swanland,3.0,True,5.0,,"[400, 1600, 100, 400]",,,"The Faceless Ones are servants of Yogg-Saron, and they feed on fear. Right now they are feeding on your fear of accidentally disenchanting all your good cards.",3.0,,,EX1_564,['BATTLECRY'],Faceless Manipulator,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_NONSELF_TARGET': 0, 'REQ_MINION_TARGET': 0}",NEUTRAL,,EPIC,EXPERT1,,Become a copy of a minion.,<b>Battlecry:</b> Choose a minion and become a copy of it.,MINION
Milivoj Ceran,,True,5.0,,"[400, 1600, 100, 400]",,,What's in there? I bet it's cookie recipes!,,,,OG_090,,Cabalist's Tome,,,MAGE,,EPIC,OG,,,Add 3 random Mage spells to your hand.,SPELL
Samwise,6.0,True,5.0,,"[100, 800, 20, 100]",,,"He didn't have the grades to get into ninja school, but his dad pulled some strings.",6.0,,,GVG_088,"['FORGETFUL', 'STEALTH']",Ogre Ninja,,,ROGUE,,RARE,GVG,,,"<b>Stealth</b>
50% chance to attack the wrong enemy.",MINION
Jim Nelson,3.0,True,2.0,,"[40, 400, 5, 50]",,,"After the debacle of the Gnomish World Enlarger, gnomes are wary of size-changing inventions.",2.0,,,GVG_011,['BATTLECRY'],Shrinkmeister,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_MINION_TARGET': 0}",PRIEST,,COMMON,GVG,,Give -2 Attack this turn.,<b>Battlecry:</b> Give a minion -2 Attack this turn.,MINION
Trevor Jacobs,,True,5.0,,"[400, 1600, 100, 400]",,,"""I think I'll just nap under these trees. Wait... AAAAAHHH!"" - Blinkfizz, the Unfortunate Gnome",,,,EX1_571,,Force of Nature,,{'REQ_NUM_MINION_SLOTS': 1},DRUID,,EPIC,EXPERT1,,,Summon three 2/2 Treants.,SPELL
Alex Horley Orlandelli,3.0,True,9.0,,"[1600, 3200, 400, 1600]",,,"""TRIFLING GNOME! YOUR ARROGANCE WILL BE YOUR UNDOING!!!!""",15.0,,,EX1_323,['BATTLECRY'],Lord Jaraxxus,,,WARLOCK,DEMON,LEGENDARY,EXPERT1,,,<b>Battlecry:</b> Destroy your hero and replace it with Lord Jaraxxus.,MINION
Joe Madureira & Grace Liu,5.0,True,5.0,,,,,He was super excited to acquire Gorehowl at a garage sale!  Then super disappointed to find out it was a foam reproduction.,6.0,"Unlocked in the Spire, in One Night in Karazhan.","Crafting unlocked in the Spire, in One Night in Karazhan.",KAR_096,,Prince Malchezaar,,,NEUTRAL,DEMON,LEGENDARY,KARA,,,"[x]When the game starts,
add 5 extra <b>Legendary</b>
minions to your deck.",MINION
Alex Horley,8.0,True,7.0,,,,,"Rend believes he is the True Warchief of the Horde and he keeps editing the wikipedia page for ""Warchief of the Horde"" to include his picture.",4.0,"Unlocked in Blackrock Spire, in the Blackrock Mountain adventure.","Crafting unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",BRM_029,['BATTLECRY'],Rend Blackhand,,"{'REQ_LEGENDARY_TARGET': 0, 'REQ_MINION_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND': 0}",NEUTRAL,,LEGENDARY,BRM,,Destroy a Legend.,"<b>Battlecry:</b> If you're holding a Dragon, destroy a <b>Legendary</b> minion.",MINION
Evgeniy Zagumennyy,,True,0.0,,"[100, 800, 20, 100]",,,"Actually, C'Thun gives his full support for this ritual.",,,,OG_114,,Forbidden Ritual,,,WARLOCK,,RARE,OG,,,Spend all your Mana. Summon that many 1/1 Tentacles.,SPELL
Jomaro Kindred,6.0,True,6.0,,"[1600, 3200, 400, 1600]",,,It's like putting racing stripes and a giant spoiler on your hero power.,3.0,,,AT_132,['BATTLECRY'],Justicar Trueheart,,,NEUTRAL,,LEGENDARY,TGT,,,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,MINION
Matt Dixon,2.0,True,3.0,,,,,Dang.  This card is sweet.  Almost as sweet as Dessert Camel.,4.0,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",LOE_020,['BATTLECRY'],Desert Camel,,,HUNTER,BEAST,COMMON,LOE,,,<b>Battlecry:</b> Put a 1-Cost minion from each deck into the battlefield.,MINION
Bernie Kang,12.0,True,10.0,,"[1600, 3200, 400, 1600]",,,"Once a noble dragon known as Neltharion, Deathwing lost his mind and shattered Azeroth before finally being defeated.  Daddy issues?",12.0,,,NEW1_030,['BATTLECRY'],Deathwing,,,NEUTRAL,DRAGON,LEGENDARY,EXPERT1,,,<b>Battlecry:</b> Destroy all other minions and discard your hand.,MINION
Brandon Kitkouski,3.0,True,5.0,,"[100, 800, 20, 100]",,,Not getting trampled is really the trick here.,3.0,,,AT_010,['BATTLECRY'],Ram Wrangler,,,HUNTER,,RARE,TGT,,,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",MINION
Steve Ellis,,True,1.0,,,,,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,,Unlocked at Level 1.,Unlocked at Level 23.,CS1_130,,Holy Smite,,{'REQ_TARGET_TO_PLAY': 0},PRIEST,,FREE,CORE,,,Deal $2 damage.,SPELL
Phil Saunders,1.0,True,1.0,,,,,These are the brainy murlocs.  It turns out that doesn’t mean much.,1.0,,Unlocked at Warlock Level 53.,EX1_508,,Grimscale Oracle,,,NEUTRAL,MURLOC,COMMON,CORE,,,ALL other Murlocs have +1 Attack.,MINION
Phil Saunders,2.0,True,2.0,,"[40, 400, 5, 50]",,,Mechs that summon mechs? What's next? Donuts that summon donuts? Mmmmm.,3.0,,,GVG_006,['AURA'],Mechwarper,,,NEUTRAL,MECHANICAL,COMMON,GVG,,,Your Mechs cost (1) less.,MINION
Evgeniy Zagumennyy,2.0,True,3.0,,"[40, 400, 5, 50]",,,His horse's name is Betsy.,1.0,,,AT_087,"['CHARGE', 'DIVINE_SHIELD']",Argent Horserider,,,NEUTRAL,,COMMON,TGT,,,"<b>Charge</b>
<b>Divine Shield</b>",MINION
Glenn Rane,5.0,True,4.0,,"[100, 800, 20, 100]",,,"If you can't find a bomb to throw, just pick up any goblin invention and throw that.",4.0,,,GVG_004,['BATTLECRY'],Goblin Blastmage,,,MAGE,,RARE,GVG,,,"<b>Battlecry:</b> If you have a Mech, deal 4 damage randomly split among all enemies.",MINION
Paul Mafayon,4.0,True,5.0,,"[40, 400, 5, 50]",,,Cults need pharmacists too.,4.0,,,OG_295,['BATTLECRY'],Cult Apothecary,,,NEUTRAL,,COMMON,OG,,,"<b>Battlecry:</b> For each enemy minion, restore 2 Health to your hero.",MINION
Michael Sutfin,,True,7.0,,"[400, 1600, 100, 400]",,,"Using this card on your enemies is one of the best things in life, according to some barbarians.",,,,GVG_052,,Crush,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARRIOR,,EPIC,GVG,,,"Destroy a minion. If you have a damaged minion, this costs (4) less.",SPELL
J. Curtis Cranford,3.0,True,3.0,2.0,"[100, 800, 20, 100]",,,"As far as blades go, this one is pretty great in the motivation department.",,,,OG_222,['BATTLECRY'],Rallying Blade,,,PALADIN,,RARE,OG,,,<b>Battlecry:</b> Give +1/+1 to your minions with <b>Divine Shield</b>.,WEAPON
Clint Langley,2.0,True,4.0,,"[400, 1600, 100, 400]",,,"The elements respond to anyone who calls them for a worthy cause, even if you call them by yelling, ""MRGHRGLGLGL!""",5.0,,,GVG_040,,Siltfin Spiritwalker,1.0,,SHAMAN,MURLOC,EPIC,GVG,,,"Whenever another friendly Murloc dies, draw a card. <b><b>Overload</b>:</b> (1)",MINION
Lorenzo Minaca,,True,2.0,,"[40, 400, 5, 50]",,,A great sniper hits the spot.  Just like a delicious flank of boar. Mmmmm.,,,,EX1_609,['SECRET'],Snipe,,,HUNTER,,COMMON,EXPERT1,,,"<b>Secret:</b> After your opponent plays a minion, deal $4 damage to it.",SPELL
Zoltan Boros,3.0,True,4.0,,"[400, 1600, 100, 400]",,,His enhancements are gluten free!,2.0,,,GVG_107,['BATTLECRY'],Enhance-o Mechano,,,NEUTRAL,MECHANICAL,EPIC,GVG,,,"<b>Battlecry:</b> Give your other minions <b>Windfury</b>, <b>Taunt</b>, or <b>Divine Shield</b>.
<i>(at random)</i>",MINION
John Polidora,10.0,True,9.0,,"[1600, 3200, 400, 1600]",,,This massive yeti just closes his eyes and charges at the nearest target.  The nearest Target is a couple blocks away and has sick deals on skateboards.,10.0,,,AT_125,['CHARGE'],Icehowl,,,NEUTRAL,,LEGENDARY,TGT,,,"<b>Charge</b>
Can't attack heroes.",MINION
Laurel D. Austin,2.0,True,3.0,,"[400, 1600, 100, 400]",,,Hobgoblins are meeting next week to discuss union benefits.  First on the list: dental plan.,3.0,,,GVG_104,,Hobgoblin,,,NEUTRAL,,EPIC,GVG,,,"Whenever you play a 1-Attack minion, give it +2/+2.",MINION
Raymond Swanland,,True,1.0,,,,,Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.,,Unlocked at Level 6.,Unlocked at Level 28.,EX1_308,,Soulfire,,{'REQ_TARGET_TO_PLAY': 0},WARLOCK,,COMMON,CORE,,,Deal $4 damage. Discard a random card.,SPELL
E.M. Gist,6.0,True,6.0,,,,ALLIANCE,"He used to be a 2100+ rated arena player, but that was years ago and nobody can get him to shut up about it.",5.0,,Unlocked at Priest Level 59.,CS2_162,['TAUNT'],Lord of the Arena,,,NEUTRAL,,COMMON,CORE,,,<b>Taunt</b>,MINION
Mark Gibbons,1.0,True,3.0,,"[100, 800, 20, 100]",,,She would enjoy the job a lot more if she just could get the imps to QUIT BITING HER.,5.0,,,EX1_597,,Imp Master,,,NEUTRAL,,RARE,EXPERT1,,,"At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp.",MINION
Chris Rahn,3.0,True,2.0,,,,ALLIANCE,Oozes love Flamenco.  Don't ask.,2.0,,Unlocked at Rogue Level 57.,EX1_066,['BATTLECRY'],Acidic Swamp Ooze,,,NEUTRAL,,COMMON,CORE,,,<b>Battlecry:</b> Destroy your opponent's weapon.,MINION
Carl Critchlow,0.0,True,1.0,,"[40, 400, 5, 50]",,,Have you seen the size of the shields in this game??  This is no easy job.,4.0,,,EX1_405,['TAUNT'],Shieldbearer,,,NEUTRAL,,COMMON,EXPERT1,,,<b>Taunt</b>,MINION
Matt Gaser,,True,2.0,,"[40, 400, 5, 50]",,,"""Dang, that's cold."" - appropriate response to Freezing Trap, or a mean joke.",,,,EX1_611,['SECRET'],Freezing Trap,,,HUNTER,,COMMON,EXPERT1,,,"<b>Secret:</b> When an enemy minion attacks, return it to its owner's hand and it costs (2) more.",SPELL
Ittoku,2.0,True,4.0,,,,,His dreams of flying and breathing fire like his idol will never be realized.,7.0,,Unlocked at Druid Level 51.,CS2_119,,Oasis Snapjaw,,,NEUTRAL,BEAST,FREE,CORE,,,,MINION
Seamus Gallagher,2.0,True,5.0,,"[100, 800, 20, 100]",,,He never sleeps.  Not even in the mighty jungle.,6.0,,,GVG_046,"['BATTLECRY', 'TAUNT']",King of Beasts,,,HUNTER,BEAST,RARE,GVG,,,<b>Taunt</b>. <b>Battlecry:</b> Gain +1 Attack for each other Beast you have.,MINION
Tom Baxa,,True,1.0,,"[40, 400, 5, 50]",,,We cannot even describe how horrible the death is.  It's CRAZY bad!  Maybe worse than that.  Just don't do it.,,,,EX1_316,,Power Overwhelming,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,COMMON,EXPERT1,,,"Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.",SPELL
Nutthapon Petchthai,4.0,True,4.0,,"[1600, 3200, 400, 1600]",,,Gormok has been giving impaling lessons in a small tent near the tournament grounds.  For only 25g you too could learn the fine art of impaling!,4.0,,,AT_122,['BATTLECRY'],Gormok the Impaler,,{'REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS': 4},NEUTRAL,,LEGENDARY,TGT,,Deal 4 damage.,"<b>Battlecry:</b> If you have at least 4 other minions, deal 4 damage.",MINION
Gonzalo Ordonez,,True,1.0,,"[40, 400, 5, 50]",,,Repentance often comes in the moment before obliteration. Curious.,,,,EX1_379,['SECRET'],Repentance,,,PALADIN,,COMMON,EXPERT1,,,"<b>Secret:</b> After your opponent plays a minion, reduce its Health to 1.",SPELL
Velvet Engine,5.0,True,9.0,,"[1600, 3200, 400, 1600]",,,"Call her ""Tweety"".  She'll find it real funny.  I PROMISE.",5.0,,,AT_045,['AURA'],Aviana,,,DRUID,,LEGENDARY,TGT,,,Your minions cost (1).,MINION
Nutchapol Thitinunthakorn,5.0,True,6.0,,"[40, 400, 5, 50]",,,There's a whole gradient of Arakkoa! This one is on the darker side.,7.0,,,OG_293,"['BATTLECRY', 'RITUAL', 'TAUNT']",Dark Arakkoa,,,DRUID,,COMMON,OG,,,"[x]<b>Taunt</b>
<b>Battlecry:</b> Give your C'Thun
+3/+3 <i>(wherever it is).</i>",MINION
Phroilan Gardner,,True,2.0,,,,,Hey you two…could you stand next to each other for a second…,,Unlocked at Level 2.,Unlocked at Level 40.,CS2_114,,Cleave,,{'REQ_MINIMUM_ENEMY_MINIONS': 2},WARRIOR,,COMMON,CORE,,,Deal $2 damage to two random enemy minions.,SPELL
Mike Sass,4.0,True,4.0,,,,,The REAL angry chicken!,4.0,"Unlocked in The Ruined City, in the League of Explorers adventure.","Crafting unlocked in The Ruined City, in the League of Explorers adventure.",LOE_051,,Jungle Moonkin,,,DRUID,BEAST,RARE,LOE,2.0,,"Both players have
<b>Spell Damage +2</b>.",MINION
Lars Grant-West,4.0,True,6.0,,"[40, 400, 5, 50]",,,It’s a self-reducing prophecy.,4.0,,,OG_138,,Nerubian Prophet,,,NEUTRAL,,COMMON,OG,,,"At the start of your turn, reduce this card's
Cost by (1).",MINION
Hideaki Takamura,,True,0.0,,"[400, 1600, 100, 400]",,,WARNING: This flame is not to be used unless you are a licensed acolyte of the Old Gods.,,,,OG_086,,Forbidden Flame,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",MAGE,,EPIC,OG,,,Spend all your Mana. Deal that much damage to a minion.,SPELL
Phroilan Gardner,2.0,True,2.0,,"[40, 400, 5, 50]",,,"""I'm going to need you to come in on Sunday."" - Cruel Taskmaster",2.0,,,EX1_603,['BATTLECRY'],Cruel Taskmaster,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_NONSELF_TARGET': 0, 'REQ_MINION_TARGET': 0}",WARRIOR,,COMMON,EXPERT1,,Deal 1 damage and grant +2 Attack.,<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.,MINION
J. Meyers & T. Washington,1.0,True,1.0,,"[40, 400, 5, 50]",,,Because EVERYDAY is the Day of the Tentacle of N'zoth.,1.0,,,OG_151,['DEATHRATTLE'],Tentacle of N'Zoth,,,NEUTRAL,,COMMON,OG,,,<b>Deathrattle:</b> Deal 1 damage to all minions.,MINION
Lucas Graciano,,True,3.0,,"[100, 800, 20, 100]",,,"This is not just a favor, but a divine one, like helping someone move a couch with a fold out bed!",,,,EX1_349,,Divine Favor,,,PALADIN,,RARE,EXPERT1,,,Draw cards until you have as many in hand as your opponent.,SPELL
Jim Nelson,3.0,True,2.0,,"[40, 400, 5, 50]",,,"If you pay a little extra, you can get it in ""candy-apple red.""",2.0,,,GVG_037,['WINDFURY'],Whirling Zap-o-matic,,,SHAMAN,MECHANICAL,COMMON,GVG,,,<b>Windfury</b>,MINION
Raymond Swanland,,True,10.0,,"[400, 1600, 100, 400]",,,"We ran out of space for ""DOOOOOOOOOOOM!!!!!""",,,,OG_239,,DOOM!,,,WARLOCK,,EPIC,OG,,,Destroy all minions. Draw a card for each.,SPELL
Kev Walker,4.0,True,5.0,,,,ALLIANCE,The Stormpike Commandos are demolition experts.  They also bake a mean cupcake.,2.0,,Unlocked at Paladin Level 51.,CS2_150,['BATTLECRY'],Stormpike Commando,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_NONSELF_TARGET': 0}",NEUTRAL,,COMMON,CORE,,Deal 2 damage.,<b>Battlecry:</b> Deal 2 damage.,MINION
A. J. Nazzaro,9.0,True,9.0,,"[400, 1600, 100, 400]",,,Add two cups of Blood of the Ancient One to one cup of lemon juice. Add just a dash of sugar and stir. Delicious!,9.0,,,OG_173,,Blood of The Ancient One,,,NEUTRAL,,EPIC,OG,,,"If you control two of these
at the end of your turn, merge them into 'The Ancient One'.",MINION
Garrett Hanna,4.0,True,5.0,,,,,"Just between us, if things get tight the Menagerie Magician position will probably be the first to go.",4.0,"Unlocked in the Menagerie, in One Night in Karazhan.","Crafting unlocked in the Menagerie, in One Night in Karazhan.",KAR_702,['BATTLECRY'],Menagerie Magician,,,NEUTRAL,,COMMON,KARA,,,"<b>Battlecry:</b> Give a random friendly Beast, Dragon, and Murloc +2/+2.",MINION
Mike Sass,1.0,True,1.0,,"[100, 800, 20, 100]",,,There is no beast more frightening (or ridiculous) than a fully enraged chicken.,1.0,,,EX1_009,['ENRAGED'],Angry Chicken,,,NEUTRAL,BEAST,RARE,EXPERT1,,,<b>Enrage:</b> +5 Attack.,MINION
Raymond Swanland,,True,3.0,,,,,Demons are not angry most of the time. You have to play this card in order to really bring it out of them.,,"Unlocked in Blackwing Lair, in the Blackrock Mountain adventure.","Crafting unlocked in Blackwing Lair, in the Blackrock Mountain adventure.",BRM_005,,Demonwrath,,,WARLOCK,,RARE,BRM,,,Deal $2 damage to all non-Demon minions.,SPELL
Den,,True,4.0,,"[40, 400, 5, 50]",,,"""Get ready to strike oil!"" - Super-cheesy battle cry",,,,GVG_022,['COMBO'],Tinker's Sharpsword Oil,,{'REQ_MINION_TARGET': 0},ROGUE,,COMMON,GVG,,,Give your weapon +3 Attack. <b>Combo:</b> Give a random friendly minion +3 Attack.,SPELL
Andrew Hou,1.0,True,1.0,,,,,"Sure, they're ugly, but they live in tunnels.  You try your beauty routine without natural light.",3.0,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_018,,Tunnel Trogg,,,SHAMAN,,COMMON,LOE,,,"Whenever you <b>Overload</b>, gain +1 Attack per locked Mana Crystal.",MINION
Dan Scott,2.0,True,2.0,,"[100, 800, 20, 100]",,,"Punching is its primary function. Also, its secondary function.",3.0,,,GVG_072,,Shadowboxer,,,PRIEST,MECHANICAL,RARE,GVG,,,"Whenever a character is healed, deal 1 damage to a random enemy.",MINION
RK Post,4.0,True,4.0,,"[100, 800, 20, 100]",,,It's nice to find a real craftsman in this day and age of mass-produced totems.,4.0,,,AT_047,['BATTLECRY'],Draenei Totemcarver,,,SHAMAN,,RARE,TGT,,,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.,MINION
Ben Zhang,3.0,True,3.0,,,,,Clever girl!,2.0,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_050,['DEATHRATTLE'],Mounted Raptor,,,DRUID,BEAST,COMMON,LOE,,,<b>Deathrattle:</b> Summon a random 1-Cost minion.,MINION
Gabor Szikszai,2.0,True,2.0,,,,HORDE,"In the old days, Kobolds were the finest candle merchants in the land. Then they got pushed too far...",2.0,,Unlocked at Warlock Level 59.,CS2_142,,Kobold Geomancer,,,NEUTRAL,,COMMON,CORE,1.0,,<b>Spell Damage +1</b>,MINION
Dan Scott,,True,0.0,,,,,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",,Unlocked at Level 1.,Unlocked at Level 15.,CS2_041,,Ancestral Healing,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",SHAMAN,,FREE,CORE,,,Restore a minion to full Health and give it <b>Taunt</b>.,SPELL
Dave Allsop,5.0,True,5.0,,"[40, 400, 5, 50]",,,Nothing unburdens your soul like a good ushing!,6.0,,,OG_302,['RITUAL'],Usher of Souls,,,WARLOCK,,COMMON,OG,,,"Whenever a friendly minion dies, give your C'Thun +1/+1
<i>(wherever it is).</i>",MINION
Michal Ivan,,True,2.0,,"[100, 800, 20, 100]",,,We are all special unique snowflakes... with 1 Health.,,,,EX1_619,,Equality,,,PALADIN,,RARE,EXPERT1,,,Change the Health of ALL minions to 1.,SPELL
Adam Byrne,3.0,True,4.0,,"[40, 400, 5, 50]",,,"Wait, what kind of acolyte doesn't wear a hood?",6.0,,,OG_334,['RITUAL'],Hooded Acolyte,,,PRIEST,,COMMON,OG,,,"Whenever a character is healed, give your
C'Thun +1/+1 <i>(wherever it is).</i>",MINION
Jaime Jones,,True,5.0,,,,,"Each year, folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.",,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",BRM_001,,Solemn Vigil,,,PALADIN,,COMMON,BRM,,,Draw 2 cards. Costs (1) less for each minion that died this turn.,SPELL
Dany Orizio,,True,1.0,,,,,The claw decides who will stay and who will go.,,Unlocked at Level 1.,Unlocked at Level 32.,CS2_005,,Claw,,,DRUID,,FREE,CORE,,,Give your hero +2 Attack this turn and 2 Armor.,SPELL
Alex Horley Orlandelli,2.0,True,3.0,,"[40, 400, 5, 50]",,,'Flesheating' is an unfair name.  It's just that there's not really much else for him to eat.,3.0,,,tt_004,,Flesheating Ghoul,,,NEUTRAL,,COMMON,EXPERT1,,,"Whenever a minion dies, gain +1 Attack.",MINION
Gonzalo Ordonez,5.0,True,7.0,,"[40, 400, 5, 50]",,,"You can keep him, but you have to promise to feed him and clean out his tank every day!",9.0,,,AT_102,,Captured Jormungar,,,NEUTRAL,BEAST,COMMON,TGT,,,,MINION
Alex Garner,,True,4.0,,"[400, 1600, 100, 400]",,,"Medivh's echo haunts Karazhan, eternally cheating at chess and <i>Hearthstone</i>.",,,,GVG_005,,Echo of Medivh,,,MAGE,,EPIC,GVG,,,Put a copy of each friendly minion into your hand.,SPELL
Alex Horley Orlandelli,1.0,True,2.0,,,,,Weblords spend all day making giant trampoline parks.,4.0,"Unlocked in The Arachnid Quarter, in the Naxxramas adventure.","Crafting unlocked in The Arachnid Quarter, in the Naxxramas adventure.",FP1_017,['AURA'],Nerub'ar Weblord,,,NEUTRAL,,COMMON,NAXX,,,Minions with <b>Battlecry</b> cost (2) more.,MINION
Zoltan & Gabor,1.0,True,1.0,,"[40, 400, 5, 50]",,ALLIANCE,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath",1.0,,,EX1_008,['DIVINE_SHIELD'],Argent Squire,,,NEUTRAL,,COMMON,EXPERT1,,,<b>Divine Shield</b>,MINION
Jesper Ejsing,2.0,True,4.0,,"[100, 800, 20, 100]",,,"If it breaks, just kick it a couple of times while yelling ""Durn thing!""",5.0,,,GVG_055,['BATTLECRY'],Screwjank Clunker,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_WITH_RACE': 17}",WARRIOR,MECHANICAL,RARE,GVG,,Give +2/+2.,<b>Battlecry:</b> Give a friendly Mech +2/+2.,MINION
Dan Scott,5.0,True,4.0,,"[40, 400, 5, 50]",,,"To be honest, heckling is not the most effective form of evil.",4.0,,,AT_114,['TAUNT'],Evil Heckler,,,NEUTRAL,,COMMON,TGT,,,<b>Taunt</b>,MINION
Donato Giancola,1.0,True,1.0,,,,ALLIANCE,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.",2.0,,Unlocked at Paladin Level 57.,CS1_042,['TAUNT'],Goldshire Footman,,,NEUTRAL,,COMMON,CORE,,,<b>Taunt</b>,MINION
Dan Brereton,4.0,True,4.0,,,,,"""Who let the dogs out?"" he asks.  It's rhetorical.",3.0,Unlocked at Level 1.,Unlocked at Level 28.,DS1_070,['BATTLECRY'],Houndmaster,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_WITH_RACE': 20}",HUNTER,,FREE,CORE,,Give a Beast +2/+2 and Taunt.,<b>Battlecry:</b> Give a friendly Beast +2/+2 and <b>Taunt</b>.,MINION
J. Meyers & A. Bozonnet,4.0,True,5.0,,"[400, 1600, 100, 400]",,,"I mean, it's not creepy if you ASK before you steal their shadow to make a small replica of them to keep on your shelf.",4.0,,,OG_291,['BATTLECRY'],Shadowcaster,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0}",ROGUE,,EPIC,OG,,,<b>Battlecry:</b> Choose a friendly minion. Add a 1/1 copy     to your hand that costs (1).,MINION
A.J. Nazzaro,,True,3.0,,"[400, 1600, 100, 400]",,,They have an uneasy rivalry with the Blood Paladins.,,,,OG_276,,Blood Warriors,,,WARRIOR,,EPIC,OG,,,Add a copy of each damaged friendly minion to your hand.,SPELL
Luca Zontini,,True,1.0,,"[100, 800, 20, 100]",,,"So you say you want an evolution. Well, you know. We all want to change the board.",,,,OG_027,,Evolve,,,SHAMAN,,RARE,OG,,,Transform your minions into random minions that cost (1) more.,SPELL
Slawomir Maniak,3.0,True,2.0,,"[40, 400, 5, 50]",,,"Underneath all that impressive armor, he's just skin and bones.  Okay, maybe just bones.",2.0,,,AT_089,['INSPIRE'],Boneguard Lieutenant,,,NEUTRAL,,COMMON,TGT,,,<b>Inspire:</b> Gain +1 Health.,MINION
Gonzalo Ordonez,3.0,True,5.0,,"[400, 1600, 100, 400]",,,Every month they share a pancake breakfast with the Perfectly Rational Worshippers.,6.0,,,OG_321,"['RITUAL', 'TAUNT']",Crazed Worshipper,,,NEUTRAL,,EPIC,OG,,,"<b>Taunt.</b> Whenever this minion takes damage, give your C'Thun +1/+1 <i>(wherever it is).</i>",MINION
Jim Nelson,2.0,True,2.0,,"[40, 400, 5, 50]",,,"Hyenas prefer the bones of kodos or windserpents, but they'll eat pretty much anything.  Even Brussels sprouts.",2.0,,,EX1_531,,Scavenging Hyena,,,HUNTER,BEAST,COMMON,EXPERT1,,,"Whenever a friendly Beast dies, gain +2/+1.",MINION
